label,outcome,truth,tfidf_prediction,minilm_prediction,tfidf_score,minilm_score,text
admiration,fixed_by_minilm,0,1,0,0.694842,0.39448,"Kings fan here, good luck to you guys! Will be an interesting game to watch! "
admiration,fixed_by_minilm,1,0,1,0.278178,0.863368,This guy is a little turd but I love him so dearly. I'll pass on your kisses :)
admiration,fixed_by_minilm,1,0,1,0.383103,0.837528,New Haven has tons of locations that have strong cyber punk-y vibes at night!
admiration,fixed_by_minilm,0,1,0,0.826896,0.293692,Thanks for the good news!
admiration,fixed_by_minilm,0,1,0,0.6439,0.525744,"Wow, an [NAME] sighting"
admiration,fixed_by_minilm,0,1,0,0.624536,0.446742,"Wow that’s scary, she’s so young and healthy. I hate that. "
admiration,fixed_by_minilm,0,1,0,0.744216,0.4797,Works for me. The video is called : The great porn experiment | [NAME] | TEDxGlasgow
admiration,fixed_by_minilm,0,1,0,0.73287,0.482092,that's why r/theredpill is such a thing. you arnt the first. you're showing a few nice guy warming signs bud.
admiration,fixed_by_minilm,1,0,1,0.228816,0.836245,"I’m a fan of them in the wild, weasels are interesting. Not as pets, nope. "
admiration,fixed_by_minilm,0,1,0,0.810928,0.20636,"They're off thinking about ways they can avoid topics and deflect more, since they seem so good at that lately."
admiration,regressed_in_minilm,0,0,1,0.200773,0.783663,Lol! But I love your last name though. XD
admiration,regressed_in_minilm,1,1,0,0.96323,0.600769,"It's great that you're a recovering addict, that's cool. Have you ever tried DMT?"
admiration,regressed_in_minilm,1,1,0,0.842293,0.486801,Lol looks delicious
admiration,regressed_in_minilm,1,1,0,0.824238,0.517659,Some great advice right here!!!!!! I forgot about this
admiration,regressed_in_minilm,1,1,0,0.897324,0.701243,I'm on board the Saints hype train. [NAME] is an amazing QB.
admiration,regressed_in_minilm,0,0,1,0.220311,0.750551,"Hope gallery for sure, had [NAME] do mine and a good friend back in 2015. Not sure if he’s still there, however."
admiration,regressed_in_minilm,0,0,1,0.22714,0.815644,helpful quad helped him to his feet!
admiration,regressed_in_minilm,0,0,1,0.378191,0.794316,This viral video of her gets posted every once in a while too: Her legs are ridiculously strong.
admiration,regressed_in_minilm,0,0,1,0.478848,0.843145,I genuinely think that would be an iconic shot if it was in a famous horror film. The way the legs just keep on coming is terrifying.
admiration,regressed_in_minilm,0,0,1,0.095901,0.862333,Thank you! I ended up assigning a dbq and paired students up
amusement,fixed_by_minilm,0,1,0,0.491202,0.848077,Man I hate double standards. I love the show but change the word ‘white’ to ‘black’ and it’s suddenly not funny anymore
amusement,fixed_by_minilm,0,1,0,0.562038,0.274206,"My friend and I have been having good fun queuing Mei/Winston, trololo, and 2 bottles of whisky."
amusement,fixed_by_minilm,0,1,0,0.580687,0.85808,Lmao I hope I’m not the only one who gets this
amusement,fixed_by_minilm,0,1,0,0.489311,0.44361,Don't include me in this us! Just kidding.. We need some love and fast.
amusement,fixed_by_minilm,0,1,0,0.446339,0.028693,Probably the most rational way to look at this entire scenario - thanks for posting this my dude. That comment set me straight again.
amusement,fixed_by_minilm,0,1,0,0.718373,0.839939,clearly no one is getting my joke oof.
amusement,fixed_by_minilm,0,1,0,0.78529,0.75595,Good luck and have fun
amusement,fixed_by_minilm,0,1,0,0.677275,0.14152,"[NAME]! Fun fact, it was [NAME]. who led the stacked 86 Mets rotation in wins with 18."
amusement,fixed_by_minilm,0,1,0,0.493191,0.283563,Protestantism never cease to amaze me with its joke of theology and non existent historical justification.
amusement,fixed_by_minilm,0,1,0,0.5209,0.757549,"I’ve learned to just laugh these off, and try not to dwell on them. "
amusement,regressed_in_minilm,1,1,0,0.963389,0.045206,in what universe? lol the mr. blue sky cover is one of the best on the album imo.
amusement,regressed_in_minilm,1,1,0,0.769404,0.711776,i love how the caption implies that the only unrealistic thing/ the only thing that gives away the photoshop is the sleeve lol
amusement,regressed_in_minilm,1,1,0,0.703227,0.887131,Make fun of them all you want; fact is they won during the regular season when we couldn't.
amusement,regressed_in_minilm,1,1,0,0.984388,0.640908,"[NAME]?! Is that [NAME]? I know ""meegwetch"" means thank you lol"
amusement,regressed_in_minilm,0,0,1,0.364167,0.911319,Lmfao lonzo? That guy is not nba talent. World is gonna spank that ass
amusement,regressed_in_minilm,1,1,0,0.65745,0.808527,Your username makes me think you would appreciate this joke of mine.
amusement,regressed_in_minilm,1,1,0,0.969195,0.812156,/u/897w346354365fdddfs said: > You're funny You're shilly
amusement,regressed_in_minilm,1,1,0,0.784178,0.634386,That’s funny to me because all of the teachers of the month this year (with 1 exception) have been science.
