sample_id,text,admiration,amusement,anger,annoyance,caring,confusion,curiosity,disappointment,disgust,excitement,fear,gratitude,joy,love,optimism,remorse,sadness,surprise
PP-R001,I'm grateful for having the time to do anything i want today 💓💓,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R002,Got dumped yesterday but it was a sunny beautiful day today.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PP-R003,it felt really wonderful to have been graced with a smile like that and I felt seen by a total stranger.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PP-R004,Our old lady cat Maya (16yo) is holding down kibble again putting some weight back on,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PP-R005,I just started Journaling today and I didnt have a plan or structure I just started writing and before I even realized it I filled a page.,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R006,Thanks. I was just having bad thoughts how cold it is today. I shall wear warm clothes and go for a walk instead.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PP-R007,"Then today, my gf and i walk into a local tiny grocery store that we wanted to check out. There is a little sign saying the things on the shelf there are free to take, and what do i find there?",0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R008,i find a beard oil. With Jojoba. No shit ingredience. Free for the taking... what are the chances??,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R009,My back hurts a little less today,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R010,My best friend coming to my family reunion,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
PP-R011,I was watching a live stream and the streamer mentioned my name,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PP-R012,Hot water was restored in my building this evening after being out since Friday.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
PP-R013,Tbh I'm kinda surprised by how good it felt.,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
PP-R014,I struggle a lot with writing things in my journal when I am having a good time.,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP-R015,"When I went back and read my entries, I mostly felt embarrassed and a little helpless.",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
