"id","datasetVersion","sourceType","primaryGardenMood","journal","sliceTags","expectedSecondaryEmotions","acceptableAlternatives","clearlyWrongEmotions","preferNoSecondaryEmotion","primaryRedundantEmotions","expectedOutputMin","expectedOutputMax","rationale"
"PP-EVAL-001","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","Finished my presentation!","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-002","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","Mom saved me dinner.","[""SHORT""]","","","","","","","",""
"PP-EVAL-003","v1","MANUALLY_AUTHORED","QUIET_BLOOM","Missed them again today.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-004","v1","MANUALLY_AUTHORED","HEALING_BLOOM","Trying again tomorrow.","[""SHORT"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-005","v1","MANUALLY_AUTHORED","FIRE_BLOOM","That was completely unfair.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-006","v1","MANUALLY_AUTHORED","WONDER_BLOOM","How did that happen?","[""SHORT"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-007","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","I can't decide anything.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-008","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","Quiet tea before bed.","[""SHORT"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-009","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","Got the internship offer.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-010","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","She checked in on me.","[""SHORT""]","","","","","","","",""
"PP-EVAL-011","v1","MANUALLY_AUTHORED","QUIET_BLOOM","The room feels emptier.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-012","v1","MANUALLY_AUTHORED","HEALING_BLOOM","One small step forward.","[""SHORT"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-013","v1","MANUALLY_AUTHORED","FIRE_BLOOM","They ignored my message again.","[""SHORT""]","","","","","","","",""
"PP-EVAL-014","v1","MANUALLY_AUTHORED","WONDER_BLOOM","I saw Saturn's rings.","[""SHORT"",""PRIMARY_REDUNDANCY""]","","","","","","","",""
"PP-EVAL-015","v1","MANUALLY_AUTHORED","DRIFTING_BLOOM","Everything feels a little off.","[""SHORT"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-016","v1","MANUALLY_AUTHORED","PEACEFUL_BLOOM","I woke before everyone else and made coffee while the apartment was still quiet. Nothing special happened, but I liked having a slow start. I watched the light move across the kitchen floor.","[""LONG"",""PRIMARY_REDUNDANCY"",""ABSTENTION_PREFERRED""]","","","","","","","",""
"PP-EVAL-017","v1","MANUALLY_AUTHORED","SUNNY_BLOOM","The interview was harder than I expected, and I stumbled on one answer. Then the recruiter told me my portfolio stood out and invited me to the next round. I keep replaying both parts in my head.","[""LONG"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-018","v1","MANUALLY_AUTHORED","GENTLE_BLOOM","My roommate noticed I had skipped lunch and left a bowl of soup by my door. We have both been busy and barely talked this week. That little gesture stayed with me all afternoon.","[""LONG"",""SUBTLE_IMPLICIT""]","","","","","","","",""
"PP-EVAL-019","v1","MANUALLY_AUTHORED","QUIET_BLOOM","I packed the last box from my old room today. I know moving is the right choice, but closing the door felt heavier than I expected. The new place is exciting and unfamiliar at the same time.","[""LONG"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
"PP-EVAL-020","v1","MANUALLY_AUTHORED","HEALING_BLOOM","I apologized for how I spoke yesterday. The conversation was uncomfortable, but they listened and we agreed to try again. I still feel bad, although the distance between us seems smaller.","[""LONG"",""MIXED_POSITIVE_NEGATIVE""]","","","","","","","",""
