id,primaryGardenMood,journal,sliceTags,expectedSecondaryEmotions,acceptableAlternatives,clearlyWrongEmotions,preferNoSecondaryEmotion,primaryRedundantEmotions,expectedOutputMin,expectedOutputMax,thresholdedCandidates,modelOutput,strictHits,acceptableHits,clearlyWrongHits,primaryRedundantHits,exactExpectedMatch,acceptableMatch,correctAbstention,unwantedAbstention,rationale
"PP-EVAL-001","SUNNY_BLOOM","Finished my presentation!","SHORT;PRIMARY_REDUNDANCY","excitement","","","false","joy","1","1","","","","","","","false","false","false","true","I would prefer one secondary emotion here, and excitement feels like the best fit."
"PP-EVAL-002","GENTLE_BLOOM","Mom saved me dinner.","SHORT","gratitude;love","","","false","caring","1","2","neutral:0.946841","","","","","","false","false","false","true","Gratitude is clear, and love is also strongly expressed."
"PP-EVAL-003","QUIET_BLOOM","Missed them again today.","SHORT;PRIMARY_REDUNDANCY","annoyance;remorse","","","false","sadness","1","2","disappointment:0.267252;neutral:0.25582948;sadness:0.5890696","disappointment","","","","","false","false","false","false","annoyance is clear, and remorse is also strongly expressed."
"PP-EVAL-004","HEALING_BLOOM","Trying again tomorrow.","SHORT;SUBTLE_IMPLICIT","optimism","disappointment","","false","","1","1","neutral:0.73100269","","","","","","false","false","false","true","I would prefer one secondary emotion; optimism is my first choice, but disappointment would also be acceptable.
"
"PP-EVAL-005","FIRE_BLOOM","That was completely unfair.","SHORT;PRIMARY_REDUNDANCY","disgust","disappointment","","false","anger","1","1","annoyance:0.41207126;disapproval:0.30973965","annoyance","","","","","false","false","false","false","I would prefer one secondary emotion; digust is my first choice, but disappointment would also be acceptable.
"
"PP-EVAL-006","WONDER_BLOOM","How did that happen?","SHORT;SUBTLE_IMPLICIT","","","","true","curiosity","0","0","curiosity:0.68617535","","","","","","true","true","true","false",""
"PP-EVAL-007","DRIFTING_BLOOM","I can't decide anything.","SHORT;PRIMARY_REDUNDANCY","disappointment;sadness","","","false","confusion","1","2","confusion:0.84190202","","","","","","false","false","false","true","Disappointment is clear, and sadness is also strongly expressed."
"PP-EVAL-008","PEACEFUL_BLOOM","Quiet tea before bed.","SHORT;PRIMARY_REDUNDANCY;ABSTENTION_PREFERRED","joy","","","false","","1","1","neutral:0.95062351","","","","","","false","false","false","true","Joy is expressed."
"PP-EVAL-009","SUNNY_BLOOM","Got the internship offer.","SHORT;PRIMARY_REDUNDANCY","excitement","","","false","joy","1","1","approval:0.2715953;neutral:0.437033","","","","","","false","false","false","true","Excitement is strongly expressed."
"PP-EVAL-010","GENTLE_BLOOM","She checked in on me.","SHORT","gratitude","","","false","caring","1","1","neutral:0.96945077","","","","","","false","false","false","true","Gratitude is strongly expressed."
